Wall time,Step,Value
1676999839.5446873,610304,-2612.41357421875
1676999845.9802504,612352,-2654.16259765625
1676999865.0876884,618496,-2651.873046875
1676999871.617903,620544,-2623.007080078125
1676999877.7995474,622592,-2623.182861328125
1676999903.454299,630784,-2775.705322265625
1676999909.9584076,632832,-2805.1005859375
1676999922.5527256,636928,-2853.916015625
1676999941.6108165,643072,-2950.685302734375
1676999966.8257,651264,-3047.119873046875
1676999973.6956606,653312,-3062.101318359375
1676999980.5363271,655360,-2996.742431640625
1676999986.6758893,657408,-3014.94384765625
1676999999.310656,661504,-3095.8759765625
1677000018.5168715,667648,-3123.123046875
1677000024.714286,669696,-3148.477294921875
1677000030.9913669,671744,-3165.153076171875
1677000050.4481587,677888,-3260.90966796875
1677000069.6998334,684032,-3199.12548828125
1677000108.0360832,696320,-3015.773193359375
1677000126.2605445,700416,-2986.455078125
1677000145.1808436,706560,-2893.818115234375
1677000151.8103516,708608,-2861.544677734375
1677000165.002002,712704,-2861.088623046875
1677000171.5614145,714752,-2900.181396484375
1677000203.6754696,724992,-2734.211669921875
1677000210.1572735,727040,-2734.971923828125
1677000235.6302989,735232,-2619.158935546875
1677000248.0173366,739328,-2614.077392578125
1677000267.4662883,745472,-2595.880615234375
1677000292.9095228,753664,-2574.0419921875
1677000318.1909263,761856,-2575.51025390625
1677000330.891736,765952,-2564.82568359375
1677000356.509376,774144,-2485.376708984375
1677000362.6474075,776192,-2471.02392578125
1677000369.204746,778240,-2440.778076171875
1677000381.985339,782336,-2446.265380859375
1677000388.008002,784384,-2408.05517578125
1677000413.6426718,792576,-2375.18505859375
1677000420.320116,794624,-2344.56103515625
1677000448.558642,802816,-2381.28955078125
1677000455.2392046,804864,-2402.337646484375
1677000461.4072576,806912,-2380.587158203125
1677000525.5519474,827392,-2716.6357421875
1677000557.6503816,837632,-2870.529296875
1677000602.9344745,851968,-3004.76904296875
1677000609.3217928,854016,-2995.699462890625
1677000641.6252553,864256,-2908.9892578125
1677000648.1327643,866304,-2904.123779296875
1677000661.2121317,870400,-2880.043212890625
1677000673.9585152,874496,-2825.89013671875
1677000700.258837,882688,-2721.824951171875
1677000762.6272538,901120,-2469.18798828125
1677000775.065204,905216,-2477.30908203125
1677000781.297268,907264,-2465.140380859375
1677000801.2358866,913408,-2468.6103515625
1677000840.5735765,925696,-2438.95703125
1677000885.6400468,940032,-2386.804443359375
1677000892.1540623,942080,-2408.712646484375
1677000898.6807666,944128,-2412.337890625
1677000904.8121786,946176,-2422.060546875
1677000917.4796243,950272,-2366.550537109375
1677000924.098377,952320,-2342.473388671875
1677000943.9959557,958464,-2341.272705078125
1677000950.677098,960512,-2291.573486328125
1677000983.1475465,970752,-2326.94189453125
1677000989.7066495,972800,-2352.0517578125
1677001059.5835302,995328,-2338.52685546875
1677001081.357979,1001472,-2370.031982421875
1677001087.4006956,1003520,-2350.06298828125
1677001100.7237592,1007616,-2343.912841796875
1677001113.4848366,1011712,-2367.712158203125
1677001133.2240434,1017856,-2335.984130859375
1677001203.8826587,1040384,-2265.376953125
