Wall time,Step,Value
1676959343.010518,12288,-5956.18359375
1676959349.4376504,14336,-6072.92333984375
1676959375.8992414,22528,-5663.0810546875
1676959382.204927,24576,-5611.71044921875
1676959402.7028098,30720,-5442.4892578125
1676959409.4919078,32768,-5458.70947265625
1676959430.126828,38912,-5184.3740234375
1676959436.7546294,40960,-5138.10302734375
1676959443.522495,43008,-5092.89013671875
1676959470.7317917,51200,-4940.6015625
1676959529.7842185,69632,-4922.71142578125
1676959548.845323,75776,-4861.7099609375
1676959575.345633,83968,-4842.90478515625
1676959588.9946399,88064,-4791.95654296875
1676959602.848691,92160,-4716.5283203125
1676959609.698693,94208,-4682.74609375
1676959623.1352901,98304,-4686.81103515625
1676959641.4977484,102400,-4726.4677734375
1676959668.2389998,110592,-4646.65625
1676959675.1915119,112640,-4660.93408203125
1676959681.6349883,114688,-4650.634765625
1676959688.402857,116736,-4629.59326171875
1676959695.4454029,118784,-4634.6875
1676959735.631774,131072,-4552.46044921875
1676959749.5269744,135168,-4511.6376953125
1676959755.9204807,137216,-4488.947265625
1676959762.7962558,139264,-4452.55419921875
1676959769.4465103,141312,-4390.47265625
1676959789.1626387,147456,-4290.40869140625
1676959795.9887333,149504,-4188.45068359375
1676959802.8765326,151552,-4163.0751953125
1676959809.3312962,153600,-4139.62451171875
1676959843.2124774,163840,-3908.435302734375
1676959876.740133,174080,-3646.87158203125
1676959896.935519,180224,-3578.535400390625
1676959903.6364284,182272,-3557.525634765625
1676959944.6918502,194560,-3342.778076171875
1676960004.630075,210944,-3091.6474609375
1676960024.5948043,217088,-2974.2412109375
1676960031.68205,219136,-2929.9736328125
1676960078.8730447,233472,-2740.642333984375
1676960099.3685968,239616,-2742.120361328125
1676960112.8525076,243712,-2722.395263671875
1676960160.5981827,258048,-2618.78369140625
1676960167.4659598,260096,-2595.49365234375
1676960188.1869655,266240,-2561.741943359375
1676960194.9923868,268288,-2558.104248046875
1676960242.5938199,282624,-2518.869384765625
1676960256.1325238,286720,-2502.770751953125
1676960269.2094996,290816,-2444.82861328125
1676960276.4542775,292864,-2445.078369140625
1676960283.4295025,294912,-2414.51318359375
1676960340.8657682,309248,-2326.78857421875
1676960374.8854945,319488,-2292.746337890625
1676960388.169442,323584,-2324.4072265625
1676960394.906852,325632,-2344.402587890625
1676960401.6382117,327680,-2364.52685546875
1676960422.0494745,333824,-2319.166015625
1676960442.2238123,339968,-2223.439453125
1676960455.460649,344064,-2230.014404296875
1676960462.3425446,346112,-2204.956787109375
1676960482.2244084,352256,-2179.981201171875
1676960523.9757476,364544,-2115.603271484375
1676960530.6103234,366592,-2095.563720703125
1676960544.1440318,370688,-2099.386474609375
1676960564.595803,376832,-2097.169921875
1676960577.6714768,380928,-2095.150634765625
1676960584.3040724,382976,-2075.22314453125
1676960598.1792357,387072,-2085.560546875
1676960611.7931588,391168,-2135.061767578125
1676960618.6621053,393216,-2141.34716796875
1676960675.4795384,407552,-2103.466064453125
1676960728.930857,423936,-1981.874755859375
1676960735.7119644,425984,-1994.575439453125
1676960742.8061368,428032,-1992.259521484375
1676960769.458733,436224,-1920.556396484375
1676960836.9114544,456704,-1897.4315185546875
1676960843.3573527,458752,-1896.8173828125
1676960857.0387747,462848,-1902.8824462890625
1676960870.668973,466944,-1937.697998046875
1676960883.9634573,471040,-1945.181396484375
1676960904.1142926,477184,-1923.9449462890625
1676960910.9216776,479232,-1899.629638671875
1676960917.8695464,481280,-1947.6414794921875
1676960938.7944658,487424,-1866.5323486328125
1676961016.217753,507904,-1990.7373046875
1676961029.7519553,512000,-2009.40087890625
1676961070.5948932,524288,-1966.946533203125
1676961091.3369145,530432,-2001.98388671875
1676961097.915534,532480,-2028.4957275390625
1676961104.6415458,534528,-2058.72216796875
1676961111.5169024,536576,-2061.378662109375
1676961125.6328158,540672,-2027.02685546875
1676961152.9066458,548864,-2038.4991455078125
1676961166.7713995,552960,-2045.749267578125
1676961180.4797719,557056,-2035.145263671875
1676961194.230765,561152,-2061.672119140625
1676961228.9980652,571392,-2017.0185546875
1676961270.4869435,583680,-2065.953857421875
1676961317.6079102,598016,-2058.733642578125
1676961328.7654295,600064,-2078.3466796875
1676961362.6868722,610304,-2019.4273681640625
1676961369.2533512,612352,-2000.5216064453125
1676961389.1137972,618496,-2059.94873046875
1676961396.1777406,620544,-2036.2371826171875
1676961403.10231,622592,-2023.8348388671875
1676961431.339057,630784,-1989.6434326171875
1676961437.740542,632832,-2023.1619873046875
1676961451.2521634,636928,-1990.50830078125
1676961472.0527005,643072,-1961.83544921875
1676961500.1175642,651264,-1986.8505859375
1676961507.2990396,653312,-2033.4075927734375
1676961514.001408,655360,-2045.76806640625
1676961521.0349338,657408,-2055.518798828125
1676961534.705096,661504,-2057.421142578125
1676961555.2560744,667648,-2067.90478515625
1676961562.2117658,669696,-2052.593505859375
1676961568.8987274,671744,-2057.17529296875
1676961589.643955,677888,-2115.584228515625
1676961609.8182633,684032,-2180.30126953125
1676961649.8836133,696320,-2256.172119140625
1676961672.3328388,700416,-2224.230712890625
1676961692.8713746,706560,-2205.651611328125
1676961699.7362719,708608,-2179.396484375
1676961713.5901308,712704,-2205.2509765625
1676961720.6165612,714752,-2194.33251953125
1676961755.0820227,724992,-2055.46337890625
1676961761.965918,727040,-1980.57763671875
1676961789.251147,735232,-1892.88818359375
1676961802.4037328,739328,-1888.573974609375
