Wall time,Step,Value
1676997942.8577435,12288,785.5999755859375
1676997949.4809072,14336,787.8235473632812
1676997974.666354,22528,861.2692260742188
1676997981.1260583,24576,871.1785888671875
1676998000.0152001,30720,893.9117431640625
1676998006.3114974,32768,879.3243408203125
1676998024.7533352,38912,872.25
1676998031.8488917,40960,863.872314453125
1676998037.8193433,43008,856.5
1676998062.0778759,51200,865.3898315429688
1676998117.9905605,69632,858.7777709960938
1676998136.8139515,75776,850.4091186523438
1676998162.8155718,83968,851.346923828125
1676998175.2423453,88064,859.3499755859375
1676998187.9918046,92160,871.5900268554688
1676998194.2416723,94208,878.7000122070312
1676998206.9093535,98304,879.77001953125
1676998226.0139825,102400,886.0700073242188
1676998251.5275967,110592,878.469970703125
1676998257.9592125,112640,878.469970703125
1676998264.4079638,114688,878.469970703125
1676998270.498365,116736,878.469970703125
1676998277.0500636,118784,878.469970703125
1676998314.8007264,131072,897.2899780273438
1676998327.517723,135168,902.02001953125
1676998334.0814922,137216,909.6099853515625
1676998340.4284816,139264,909.6099853515625
1676998346.6862905,141312,901.5800170898438
1676998365.5762293,147456,899.6599731445312
1676998372.0369518,149504,906.760009765625
1676998377.986897,151552,907.75
1676998384.4181945,153600,909.6699829101562
1676998415.5551772,163840,912.8599853515625
1676998447.3270648,174080,916.4600219726562
1676998466.7560055,180224,906.9400024414062
1676998473.8160808,182272,912.5599975585938
1676998512.0583322,194560,882.6199951171875
1676998569.526478,210944,886.8900146484375
1676998588.7186654,217088,872.5700073242188
1676998594.7034364,219136,872.5700073242188
1676998640.0642893,233472,843.9199829101562
1676998659.545202,239616,848.2000122070312
1676998671.9149604,243712,852.97998046875
1676998716.6347704,258048,850.9199829101562
1676998723.04596,260096,859.3400268554688
1676998741.420934,266240,834.1500244140625
1676998747.5456336,268288,831.52001953125
1676998794.3819704,282624,798.2899780273438
1676998807.161443,286720,800.8300170898438
1676998820.0147934,290816,786.7100219726562
1676998826.5217314,292864,786.510009765625
1676998832.9228337,294912,784.8200073242188
1676998881.9528244,309248,808.5900268554688
1676998913.6020021,319488,744.469970703125
1676998926.1955545,323584,724.0499877929688
1676998932.700461,325632,721.8300170898438
1676998938.9490733,327680,711.6300048828125
1676998958.0653756,333824,696.2899780273438
1676998977.5379255,339968,664.6099853515625
1676998990.4648457,344064,679.4600219726562
1676998997.0990894,346112,670.0800170898438
1676999015.815192,352256,659.239990234375
1676999054.1365051,364544,639.27001953125
1676999060.871603,366592,633.2999877929688
1676999073.8683167,370688,623.3800048828125
1676999092.7482312,376832,628.8599853515625
1676999105.4183743,380928,628.3599853515625
1676999112.0586421,382976,639.1799926757812
1676999125.0166245,387072,641.219970703125
1676999137.2470114,391168,636.8499755859375
1676999143.7393773,393216,649.1900024414062
1676999192.207879,407552,632.27001953125
1676999245.1645112,423936,580.4199829101562
1676999251.4826772,425984,581.8699951171875
1676999258.1620169,428032,550.219970703125
1676999283.8655214,436224,570.02001953125
1676999349.0252855,456704,573.3300170898438
1676999355.2796974,458752,563.0
1676999368.3932152,462848,554.1699829101562
1676999381.713482,466944,554.4500122070312
1676999394.6441963,471040,557.1599731445312
1676999413.8372338,477184,569.030029296875
1676999420.1693084,479232,567.3699951171875
1676999426.3049958,481280,573.1599731445312
1676999445.6387174,487424,587.969970703125
1676999513.8401875,507904,549.4099731445312
1676999527.063136,512000,524.219970703125
1676999565.7443125,524288,531.5
1676999584.314448,530432,536.5
1676999590.2965875,532480,544.0999755859375
1676999596.8552003,534528,536.8099975585938
1676999603.3645728,536576,530.2899780273438
1676999615.5520968,540672,523.8300170898438
1676999641.5527792,548864,551.3599853515625
1676999654.32231,552960,569.4400024414062
1676999667.1824014,557056,559.0
1676999680.4123614,561152,561.6099853515625
1676999712.996429,571392,566.1500244140625
1676999752.0668254,583680,524.6900024414062
