Wall time,Step,Value
1677014445.622788,12288,-6581.06787109375
1677014451.719135,14336,-6395.02783203125
1677014476.1631746,22528,-6347.349609375
1677014482.456741,24576,-6238.591796875
1677014501.1549149,30720,-6204.705078125
1677014508.0889277,32768,-6238.3037109375
1677014527.1890516,38912,-6034.69921875
1677014533.1737845,40960,-6020.455078125
1677014539.5036726,43008,-5984.10107421875
1677014564.3446865,51200,-5884.34912109375
1677014618.6384795,69632,-5649.58642578125
1677014635.9194188,75776,-5561.9560546875
1677014660.2807076,83968,-5465.14208984375
1677014672.0091507,88064,-5398.75927734375
1677014685.0266988,92160,-5266.9248046875
1677014691.3728757,94208,-5288.7587890625
1677014703.3480976,98304,-5204.8349609375
1677014723.988267,102400,-5195.7138671875
1677014747.9421587,110592,-5156.81982421875
1677014753.799805,112640,-5135.02294921875
1677014759.9244955,114688,-5107.65771484375
1677014766.2660875,116736,-5103.904296875
1677014772.1770356,118784,-5117.91796875
1677014808.7149572,131072,-5082.52978515625
1677014820.9888365,135168,-5090.400390625
1677014827.3051982,137216,-5093.78076171875
1677014833.2671876,139264,-5139.45361328125
1677014838.9275937,141312,-5136.76513671875
1677014857.5350254,147456,-5176.80517578125
1677014863.447862,149504,-5161.89111328125
1677014869.4729066,151552,-5088.01318359375
1677014875.356829,153600,-5058.95654296875
1677014905.8140068,163840,-5039.34765625
1677014936.7617893,174080,-4800.06396484375
1677014955.3382099,180224,-4767.4619140625
1677014961.5207171,182272,-4729.357421875
1677014997.495139,194560,-4380.24267578125
1677015053.4599338,210944,-3971.245361328125
1677015071.4505973,217088,-3750.3798828125
1677015077.8050056,219136,-3707.794189453125
1677015121.7542531,233472,-3410.79541015625
1677015139.8144035,239616,-3336.347900390625
1677015151.8515103,243712,-3312.772705078125
1677015195.3366246,258048,-3287.9345703125
1677015201.261667,260096,-3335.533203125
1677015220.371417,266240,-3307.5478515625
1677015226.1966188,268288,-3317.3056640625
1677015269.5266397,282624,-3320.11376953125
1677015281.8507524,286720,-3306.829833984375
1677015294.5394096,290816,-3346.929443359375
1677015300.6533525,292864,-3350.78076171875
1677015306.8521957,294912,-3364.104736328125
1677015353.7030368,309248,-3366.765869140625
1677015384.7457614,319488,-3310.7529296875
1677015396.7649808,323584,-3290.989013671875
1677015403.0222464,325632,-3261.86767578125
1677015408.9510686,327680,-3267.085205078125
